pi_approx,nodos,procesadores,iteraciones,tiempo,error,calidad,tipo
3.141593,2,29,10000000000,6.986942,6.33297e-09,22599840.0,mt_es
3.141593,4,7,10000000000,28.99073,8.933363e-08,386123.2,mt_es
3.141594,1,27,10000000000,10.40684,1.40889e-06,68203.11,mt
3.141595,6,32,10000000000,8.005023,1.876895e-06,66557.56,mt_es
3.141594,8,25,10000000000,10.92356,1.400991e-06,65343.22,mt
3.141594,7,16,10000000000,13.92265,1.44061e-06,49857.64,mt_es
3.141596,3,31,10000000000,6.649912,3.071143e-06,48964.8,mt
3.141592,8,10,10000000000,27.34695,7.732751e-07,47288.68,mt
3.141594,6,13,10000000000,15.60874,1.504955e-06,42570.5,mt
3.14159,4,24,10000000000,8.746534,2.79965e-06,40837.61,mt_es
3.142034,4,16,10000000,0.05713727,0.0004414409,39646.78,mt_es
3.141591,8,22,10000000000,12.78788,2.000216e-06,39095.29,mt_es
3.141194,4,16,100000000,0.06934212,0.0003983565,36201.86,tr_es
3.141194,4,16,100000000,0.0724458,0.0003983565,34650.93,tr
3.141589,8,27,10000000000,8.266451,3.521542e-06,34351.68,mt_es
3.141589,5,22,10000000000,9.23776,3.845078e-06,28153.23,mt
3.141597,6,22,10000000000,9.227597,4.496645e-06,24100.32,mt
